Rank,Word,Overall Frequency,Rank,Word,Overall Frequency,Rank,Word,Overall Frequency
1,flight,32807,35,another,2557,69,travel,1703
2,airline,14167,36,flying,2459,70,going,1685
3,american,11472,37,dalla,2372,71,rude,1676
4,time,9356,38,next,2355,72,agent,1650
5,hour,7854,39,staff,2343,73,luggage,1611
6,seat,6828,40,said,2317,74,change,1582
7,service,6762,41,way,2289,75,went,1578
8,plane,6223,42,people,2236,76,diam,1536
9,get,6057,43,check,2229,77,took,1533
10,would,5161,44,worst,2197,78,hotel,1523
11,customer,4795,45,light,2164,79,problem,1513
12,fly,4705,46,make,2122,80,connection,1504
13,one,4363,47,boarding,2068,81,left,1491
14,first,4262,48,great,2036,82,line,1480
15,airport,4222,49,ever,2035,83,long,1477
16,delayed,4197,50,clas,2034,84,leg,1457
17,day,3902,51,like,2023,85,asked,1452
18,back,3551,52,connecting,2010,86,also,1451
19,gate,3479,53,take,1992,87,help,1447
20,never,3475,54,issue,1988,88,well,1398
21,could,3433,55,made,1956,89,busines,1397
22,trip,3330,56,last,1949,90,weather,1383
23,told,3311,57,home,1883,91,pay,1372
24,canceled,3303,58,passenger,1867,92,schedule,1356
25,bag,3233,59,two,1861,93,extra,1352
26,good,3109,60,booked,1846,94,work,1349
27,got,3085,61,crew,1827,95,return,1347
28,attendant,3077,62,late,1793,96,still,1326
29,even,3029,63,new,1786,97,board,1324
30,minute,2864,64,arrived,1781,98,later,1320
31,ticket,2799,65,food,1744,99,use,1315
32,experience,2792,66,flew,1735,100,economy,1307
33,delay,2613,67,year,1733,,,
34,due,2560,68,charlotte,1718,,,
